country,origin_quarter,horizon_quarters,target_quarter,macro_feature_quarter,trade_graph_quarter,cpi_yoy_input,energy_cpi_yoy_input,target_cpi_yoy,split
LTU,2017Q4,4,2018Q4,2017Q3,2017Q3,4.451462765957448,4.5355350258238,2.331745180323752,test
LUX,2017Q4,4,2018Q4,2017Q3,2017Q3,2.025046629363203,1.63922456281258,2.4220219181635416,test
LVA,2017Q4,4,2018Q4,2017Q3,2017Q3,2.907673860911264,3.0301931929392234,2.891643857671866,test
MLT,2017Q4,4,2018Q4,2017Q3,2017Q3,1.22978599786967,0.5257304620362113,1.5564584835179085,test
NLD,2017Q4,4,2018Q4,2017Q3,2017Q3,1.4760514793684454,2.6801327575746603,1.829328262793828,test
AUT,2018Q1,4,2019Q1,2017Q4,2017Q4,2.3753512383192676,-0.3843819542787785,1.6004855764623294,test
BEL,2018Q1,4,2019Q1,2017Q4,2017Q4,1.9968829144749731,6.566190180236164,1.987869550030208,test
BGR,2018Q1,4,2019Q1,2017Q4,2017Q4,1.7268180589348423,5.781942078364577,2.500658935160782,test
CYP,2018Q1,4,2019Q1,2017Q4,2017Q4,0.0505612296491042,1.9055600087444449,1.3334245076586315,test
CZE,2018Q1,4,2019Q1,2017Q4,2017Q4,2.471169686985175,-0.2690884628321566,2.332268370607049,test
DEU,2018Q1,4,2019Q1,2017Q4,2017Q4,1.552692434753844,1.5961138098542715,1.5640273704790042,test
DNK,2018Q1,4,2019Q1,2017Q4,2017Q4,1.1655011655011815,-0.3731343283582156,1.1551155115511635,test
EST,2018Q1,4,2019Q1,2017Q4,2017Q4,4.079211835645324,-0.2069607809320195,2.2949479707000897,test
FIN,2018Q1,4,2019Q1,2017Q4,2017Q4,0.6210769739015465,4.407586070177749,1.2099154042888085,test
FRA,2018Q1,4,2019Q1,2017Q4,2017Q4,1.2152720288751029,3.1886092449613823,1.4251781472684133,test
GRC,2018Q1,4,2019Q1,2017Q4,2017Q4,0.8260076297893493,1.645459996002918,0.7864609258337429,test
HRV,2018Q1,4,2019Q1,2017Q4,2017Q4,1.4770258980785431,-1.0513036164844447,0.8166369106658689,test
HUN,2018Q1,4,2019Q1,2017Q4,2017Q4,2.32527501482116,1.4396640783817194,3.2322068612391064,test
IRL,2018Q1,4,2019Q1,2017Q4,2017Q4,0.5025125628140614,3.40231497720096,0.867244829886582,test
ITA,2018Q1,4,2019Q1,2017Q4,2017Q4,1.057152296002606,3.5063113604488105,1.0227647641042337,test
LTU,2018Q1,4,2019Q1,2017Q4,2017Q4,4.061597058050936,2.859080525414059,2.073957513768643,test
LUX,2018Q1,4,2019Q1,2017Q4,2017Q4,1.8459201532213143,3.086530524351283,2.053927771829067,test
LVA,2018Q1,4,2019Q1,2017Q4,2017Q4,2.532356048600115,3.1605881504973565,2.80206231786595,test
MLT,2018Q1,4,2019Q1,2017Q4,2017Q4,1.44599940165544,0.7885956930542948,1.2029375602299552,test
NLD,2018Q1,4,2019Q1,2017Q4,2017Q4,1.3523391812865435,3.281378178835115,2.4686905776670542,test
AUT,2018Q2,4,2019Q2,2018Q1,2018Q1,1.9708124307772137,-0.0577936426992886,1.6637671991143632,test
BEL,2018Q2,4,2019Q2,2018Q1,2018Q1,1.5773175924133742,1.202688362221438,1.6579433980004277,test
BGR,2018Q2,4,2019Q2,2018Q1,2018Q1,1.5626568512631556,5.445075757575757,2.768052874390614,test
CYP,2018Q2,4,2019Q2,2018Q1,2018Q1,-0.7667774988125209,-2.130537707135638,0.5722791928547633,test
CZE,2018Q2,4,2019Q2,2018Q1,2018Q1,1.722456938576511,1.1784511784511895,2.4428934010152226,test
