iso3,quarter,split,actual,arima_pred,var_pred
CHE,2022Q2,test,3.379277166712225,3.204577267176653,3.151160652126101
CHE,2022Q3,test,2.9321948956888777,3.4359703951113576,2.9203728255593724
CHE,2022Q4,test,3.1992035781797545,2.7645895011042994,2.3249415065408687
CHE,2023Q1,test,2.1433428932794207,3.3379472072716805,2.186634907739885
CHE,2023Q2,test,1.6046868821464555,1.8009565929481275,1.912295040120847
CHE,2023Q3,test,1.6172559026421895,1.54990677565627,0.9805770712184124
CHE,2023Q4,test,1.163675174656742,1.6376063535955578,1.4249164211750442
CHE,2024Q1,test,1.3619692074892995,1.0201108137557688,1.1890188586390653
CHE,2024Q2,test,1.064554326589917,1.4621423342618949,1.220436909746468
CHE,2024Q3,test,0.6600156037828375,0.9512393273367692,0.892541089911594
CHE,2024Q4,test,,0.5753147892440162,0.513636661404436
CHN,2019Q1,val,2.667513496348062,1.7617275602297686,1.9059470605972617
CHN,2019Q2,val,2.8643374252439457,3.0432727140546723,2.373530545304544
CHN,2019Q3,val,4.222708789490137,2.791232659110784,3.6589335333124495
CHN,2019Q4,val,4.956629491945463,4.795118166365531,4.467292888320339
CHN,2020Q1,val,2.7219300958861714,5.01954205919673,5.166725591109154
CHN,2020Q2,val,1.9583843329253223,1.7511848707448499,0.6650328332515905
CHN,2020Q3,val,0.1200480192076858,2.0392730320951524,0.5395489722324216
CHN,2020Q4,val,-0.1089728453364857,-0.6159907575376821,-1.3332073566677012
CHN,2021Q1,test,1.268142125865701,0.06923467236040742,0.40803003932921156
CHN,2021Q2,test,1.0007803121248493,1.7315244860029029,4.173963223703119
CHN,2021Q3,test,1.7824640287769755,0.7174878163702003,-0.4299064429488455
CHN,2021Q4,test,1.1535888577517197,2.1770517970309977,2.8283800940083452
CHN,2022Q1,test,2.255349579184762,0.7974929451079645,0.6155466089122072
CHN,2022Q2,test,2.6516441400081803,2.727868623550292,1.9402157411670902
CHN,2022Q3,test,1.8396901983617653,2.6273615158495547,2.482204594254004
CHN,2022Q4,test,1.2382027073488675,1.5757928746317922,2.010043862085292
CHN,2023Q1,test,0.0973257942433303,1.124151861673794,1.3563959593872617
