source_iso3,target_iso3,edge_attr,abs_edge_attr,case_study,forecast_quarter
IND,CHE,0.025991117116063833,0.03130445023998618,partner_spillover_dominant,2022Q2
SGP,CHE,0.024934071116149426,0.030518834479153156,partner_spillover_dominant,2022Q2
NLD,CHE,0.02450340846553445,0.029510484542697668,partner_spillover_dominant,2022Q2
CAN,CHE,0.024078753776848316,0.029302162118256092,partner_spillover_dominant,2022Q2
ARG,CHE,0.021787632256746292,0.02914121001958847,partner_spillover_dominant,2022Q2
JPN,CHE,0.024666577577590942,0.028904719278216362,partner_spillover_dominant,2022Q2
AUS,CHE,0.023097662953659892,0.02822113153524697,partner_spillover_dominant,2022Q2
RUS,CHE,0.02368712890893221,0.028181999921798706,partner_spillover_dominant,2022Q2
ZAF,CHE,0.02332305582240224,0.02796499105170369,partner_spillover_dominant,2022Q2
SAU,CHE,0.02235456253401935,0.027960795210674405,partner_spillover_dominant,2022Q2
KOR,CHE,0.023467210354283452,0.02776253572665155,partner_spillover_dominant,2022Q2
MEX,CHE,0.02242541592568159,0.02723100408911705,partner_spillover_dominant,2022Q2
BRA,CHE,0.022764287423342466,0.027131146285682917,partner_spillover_dominant,2022Q2
VNM,CHE,0.021758453454822302,0.02666646847501397,partner_spillover_dominant,2022Q2
IDN,CHE,0.021931871073320508,0.026374647160992026,partner_spillover_dominant,2022Q2
CHE,CHE,1.6454401787768802e-06,1.9452507018513643e-06,partner_spillover_dominant,2022Q2
