iso3,quarter,actual,stgnn_pred,split
SAU,2020Q2,6.010390758514404,0.11626482009887695,val
SGP,2020Q2,0.567829966545105,-0.2840839624404907,val
TUR,2020Q2,11.76090145111084,10.807046890258789,val
USA,2020Q2,1.223140835762024,-0.4820471704006195,val
VNM,2020Q2,2.795823574066162,1.9416422843933105,val
ZAF,2020Q2,3.069061517715454,1.5349702835083008,val
ARG,2020Q3,36.3778076171875,39.930728912353516,val
AUS,2020Q3,0.8606590628623962,0.8154821991920471,val
BRA,2020Q3,4.250568389892578,2.7495954036712646,val
CAN,2020Q3,0.7816280126571655,0.388397753238678,val
CHE,2020Q3,-0.6895644068717957,-0.742841362953186,val
CHN,2020Q3,0.12004801630973816,2.06135892868042,val
DEU,2020Q3,-0.5044240951538086,-0.8068840503692627,val
FRA,2020Q3,0.07644286006689072,0.46335870027542114,val
GBR,2020Q3,0.7377805113792419,0.8848580718040466,val
IDN,2020Q3,1.4684337377548218,1.3221162557601929,val
IND,2020Q3,4.952369213104248,5.646159648895264,val
ITA,2020Q3,-0.22712524235248566,-0.36831825971603394,val
JPN,2020Q3,-0.9289987087249756,0.1455405056476593,val
KOR,2020Q3,0.4541490077972412,0.8363287448883057,val
MEX,2020Q3,3.5207784175872803,4.017097473144531,val
NLD,2020Q3,1.0103214979171753,1.2782076597213745,val
RUS,2020Q3,4.438822269439697,3.656402111053467,val
SAU,2020Q3,5.6291279792785645,6.133989334106445,val
SGP,2020Q3,-0.1721118688583374,0.687676727771759,val
TUR,2020Q3,13.509830474853516,11.883012771606445,val
USA,2020Q3,1.242270588874817,1.327988624572754,val
VNM,2020Q3,3.2209343910217285,2.915107250213623,val
ZAF,2020Q3,3.1833596229553223,3.1972837448120117,val
ARG,2020Q4,40.647098541259766,36.427947998046875,val
AUS,2020Q4,1.1149814128875732,0.8921803832054138,val
BRA,2020Q4,5.285460948944092,4.279491424560547,val
CAN,2020Q4,1.4362298250198364,0.8097999691963196,val
CHE,2020Q4,-0.4311195909976959,-0.6639208793640137,val
CHN,2020Q4,-0.10897284746170044,0.11248640716075897,val
DEU,2020Q4,1.4990079402923584,-0.49816131591796875,val
FRA,2020Q4,0.7428425550460815,0.09599530696868896,val
GBR,2020Q4,0.8909370303153992,0.7548049688339233,val
IDN,2020Q4,1.4314104318618774,1.5004770755767822,val
IND,2020Q4,4.435926914215088,4.972025394439697,val
ITA,2020Q4,0.5832793116569519,-0.20766004920005798,val
JPN,2020Q4,-0.5313479900360107,-0.9163777828216553,val
KOR,2020Q4,1.4224324226379395,0.4705003499984741,val
MEX,2020Q4,3.98751163482666,3.551175832748413,val
NLD,2020Q4,1.752958059310913,1.030784010887146,val
RUS,2020Q4,5.548526287078857,4.467844486236572,val
SAU,2020Q4,5.306025981903076,5.662436485290527,val
SGP,2020Q4,-0.1721118688583374,-0.14413265883922577,val
TUR,2020Q4,15.593528747558594,13.543107032775879,val
USA,2020Q4,1.9027552604675293,1.2377030849456787,val
VNM,2020Q4,3.2209343910217285,3.247119188308716,val
ZAF,2020Q4,3.1027262210845947,3.2250335216522217,val
ARG,2021Q1,48.46569061279297,41.34587860107422,test
AUS,2021Q1,3.8461828231811523,1.8106322288513184,test
BRA,2021Q1,7.720149517059326,5.978168964385986,test
CAN,2021Q1,3.3496220111846924,2.1330552101135254,test
CHE,2021Q1,0.49446409940719604,0.2639922797679901,test
CHN,2021Q1,1.2681421041488647,0.5818861722946167,test
DEU,2021Q1,2.190516233444214,2.1929116249084473,test
FRA,2021Q1,1.381901502609253,1.4387459754943848,test
GBR,2021Q1,2.0858895778656006,1.5881162881851196,test
IDN,2021Q1,1.4774788618087769,2.12638521194458,test
IND,2021Q1,5.325830459594727,5.12981653213501,test
ITA,2021Q1,1.1985746622085571,1.2788641452789307,test
JPN,2021Q1,-0.732891857624054,0.16274875402450562,test
KOR,2021Q1,2.4878621101379395,2.116865634918213,test
MEX,2021Q1,5.952098369598389,4.685296058654785,test
NLD,2021Q1,2.0060243606567383,2.4479382038116455,test
RUS,2021Q1,6.015997409820557,6.243129730224609,test
SAU,2021Q1,5.697166442871094,6.0023088455200195,test
SGP,2021Q1,-0.1721118688583374,0.5257779359817505,test
TUR,2021Q1,17.0875301361084,16.28935432434082,test
USA,2021Q1,4.782956123352051,2.5939459800720215,test
VNM,2021Q1,3.2209343910217285,3.9159276485443115,test
ZAF,2021Q1,4.960086345672607,3.798851251602173,test
ARG,2021Q2,51.89366912841797,48.84005355834961,test
AUS,2021Q2,3.0121212005615234,4.212015628814697,test
BRA,2021Q2,9.642160415649414,8.083757400512695,test
CAN,2021Q2,4.062294960021973,3.714634418487549,test
CHE,2021Q2,0.8343061208724976,0.8583012819290161,test
CHN,2021Q2,1.0007803440093994,1.617773413658142,test
DEU,2021Q2,3.87833571434021,2.547189950942993,test
FRA,2021Q2,1.7247403860092163,1.743669033050537,test
GBR,2021Q2,2.658924102783203,2.44718861579895,test
IDN,2021Q2,1.5697616338729858,1.843276858329773,test
IND,2021Q2,4.8243584632873535,5.686013221740723,test
ITA,2021Q2,2.1753246784210205,1.559740424156189,test
KOR,2021Q2,2.5352675914764404,2.8476693630218506,test
MEX,2021Q2,5.799497604370117,6.318299293518066,test
NLD,2021Q2,2.1650755405426025,2.367555618286133,test
RUS,2021Q2,6.856441020965576,6.380369186401367,test
SAU,2021Q2,0.44524168968200684,6.063737392425537,test
SGP,2021Q2,-0.1721118688583374,0.19341492652893066,test
TUR,2021Q2,19.26423454284668,17.454551696777344,test
USA,2021Q2,5.249561309814453,5.134709358215332,test
VNM,2021Q2,3.2209343910217285,3.5847694873809814,test
ZAF,2021Q2,4.921411514282227,5.329421043395996,test
ARG,2021Q3,51.398494720458984,52.717620849609375,test
AUS,2021Q3,3.498241901397705,3.8270316123962402,test
BRA,2021Q3,10.488256454467773,10.452964782714844,test
CAN,2021Q3,4.7261271476745605,4.876596450805664,test
CHE,2021Q3,1.4350570440292358,1.6459579467773438,test
CHN,2021Q3,1.7824640274047852,1.7993431091308594,test
DEU,2021Q3,4.709417819976807,4.68330192565918,test
FRA,2021Q3,2.7180140018463135,2.5352790355682373,test
GBR,2021Q3,4.424778938293457,3.469512939453125,test
IDN,2021Q3,1.7605451345443726,2.3833096027374268,test
IND,2021Q3,4.9692840576171875,5.6338300704956055,test
ITA,2021Q3,3.544715404510498,2.9857020378112793,test
KOR,2021Q3,3.54624080657959,3.344165802001953,test
MEX,2021Q3,6.990518569946289,6.614518165588379,test
NLD,2021Q3,4.7633748054504395,2.9750170707702637,test
RUS,2021Q3,8.311355590820312,7.6700873374938965,test
SAU,2021Q3,1.0613396167755127,1.2598302364349365,test
SGP,2021Q3,2.316103219985962,0.6434136033058167,test
TUR,2021Q3,25.84839630126953,20.079517364501953,test
USA,2021Q3,6.771440505981445,6.0494842529296875,test
VNM,2021Q3,1.8347156047821045,4.03228759765625,test
ZAF,2021Q3,5.470997333526611,5.7397141456604,test
ARG,2021Q4,52.766761779785156,52.22077560424805,test
AUS,2021Q4,5.0890350341796875,4.315169334411621,test
BRA,2021Q4,10.743596076965332,11.302793502807617,test
CAN,2021Q4,5.831543445587158,5.542983055114746,test
CHE,2021Q4,2.0625295639038086,2.2504329681396484,test
CHN,2021Q4,1.153588891029358,2.5915846824645996,test
DEU,2021Q4,4.7916154861450195,5.521600723266602,test
FRA,2021Q4,3.658343553543091,3.5330309867858887,test
GBR,2021Q4,5.511571407318115,5.240068435668945,test
IDN,2021Q4,2.291323184967041,2.5766167640686035,test
IND,2021Q4,5.40922737121582,5.783818244934082,test
ITA,2021Q4,5.670103073120117,4.359767436981201,test
KOR,2021Q4,3.8067398071289062,4.360618591308594,test
MEX,2021Q4,7.268852233886719,7.807610988616943,test
NLD,2021Q4,7.444779396057129,5.578151226043701,test
